policy,epoch,train_loss,val_logloss,val_acc,lr,improved,patience_left
brightness_and_rotation,1,0.34045027545653284,0.6919665793069534,0.53,0.0002991810233575568,True,5
brightness_and_rotation,2,0.04398759806645103,0.6919943806525035,0.54,0.0002967330663097039,False,4
brightness_and_rotation,3,0.03025235350651201,0.6918783485200877,0.55,0.0002926829491861254,True,5
brightness_and_rotation,4,0.010871279268030776,0.6913125984308828,0.58,0.00028707504591756876,True,5
brightness_and_rotation,5,0.008182454173947917,0.6901841305501183,0.62,0.00027997079786577355,True,5
brightness_and_rotation,6,0.017619920854485827,0.6883867251554961,0.64,0.0002714480406590546,True,5
brightness_and_rotation,7,0.024754574969847454,0.6858141497416973,0.67,0.0002616001514088704,True,5
brightness_and_rotation,8,0.021438110850795056,0.682388172882982,0.65,0.0002505350256506492,True,5
brightness_and_rotation,9,0.02047740599118697,0.6779421318032682,0.59,0.00023837389521772463,True,5
brightness_and_rotation,10,0.004968863661815703,0.6724379133967281,0.61,0.00022524999999999992,True,5
brightness_and_rotation,11,0.0009728972186167084,0.666813495304061,0.62,0.0002113071281398321,True,5
brightness_and_rotation,12,0.0024570118912379257,0.6608343974823634,0.63,0.00019669804065905458,True,5
brightness_and_rotation,13,0.0014559626838490658,0.655127212344601,0.63,0.00018158279777725494,True,5
brightness_and_rotation,14,0.008555261222454646,0.6489971978129699,0.64,0.00016612700525851415,True,5
brightness_and_rotation,15,0.005402203637004277,0.6419356043596521,0.64,0.0001505,True,5
brightness_and_rotation,16,0.0014679732953482016,0.634543717596406,0.64,0.0001348729947414858,True,5
brightness_and_rotation,17,0.05064701946935202,0.6274710828685052,0.66,0.00011941720222274492,True,5
brightness_and_rotation,18,0.024547984239688958,0.6196806853909195,0.67,0.00010430195934094534,True,5
brightness_and_rotation,19,0.001274383482268604,0.6101359313309687,0.67,8.969287186016786e-05,True,5
brightness_and_rotation,20,0.0028035884756718588,0.5999728197240902,0.67,7.575000000000001e-05,True,5
brightness_and_rotation,21,0.0008894776192391873,0.5891566150902606,0.68,6.262610478227527e-05,True,5
brightness_and_rotation,22,0.0030517899808728544,0.5780922540813586,0.69,5.046497434935074e-05,True,5
brightness_and_rotation,23,0.0005584688624367118,0.5678865919643941,0.7,3.939984859112959e-05,True,5
brightness_and_rotation,24,0.0016052068667704589,0.5570721049750027,0.71,2.9551959340945373e-05,True,5
brightness_and_rotation,25,0.0005709816937269352,0.5458376839127843,0.73,2.1029202134226415e-05,True,5
brightness_and_rotation,26,0.00047680354236945277,0.5347210626896668,0.73,1.3924954082431155e-05,True,5
brightness_and_rotation,27,0.0009466628439440683,0.5240648249109651,0.73,8.317050813874547e-06,True,5
brightness_and_rotation,28,0.0010321637225843006,0.513326728488546,0.73,4.26693369029605e-06,True,5
brightness_and_rotation,29,0.12938677419560918,0.5027585550635908,0.73,1.8189766424431266e-06,True,5
brightness_and_rotation,30,0.0005800469198220526,0.493262461672763,0.74,1e-06,True,5
