model,feature,importance,rank
extra_trees,first_move_thr2,0.010625815730247729,14
extra_trees,abs_delta_structure_center_x,0.009853327146617796,15
extra_trees,mean_structure_bbox_w,0.009654427162494466,16
extra_trees,delta_std_b,0.008763536315113547,17
extra_trees,abs_delta_std_g,0.008621094144009482,18
extra_trees,abs_delta_brightness_std,0.008276402924384396,19
extra_trees,abs_delta_structure_area_ratio,0.008050333590820493,20
extra_trees,abs_delta_noise_residual_std,0.008008989110205584,21
extra_trees,top_centroid_dx,0.008003739351100114,22
extra_trees,top_structure_center_x,0.007945972769918605,23
extra_trees,front_tilt,0.00772257697718481,24
extra_trees,delta_brightness_std,0.007495844926451798,25
extra_trees,delta_noise_residual_std,0.007169197754446961,26
extra_trees,abs_delta_hue_entropy,0.00686674527968902,27
extra_trees,top_structure_bbox_w,0.006583693344092393,28
extra_trees,delta_structure_center_x,0.005984715459516508,29
extra_trees,delta_structure_area_ratio,0.0058215942633671235,30
extra_trees,delta_std_g,0.005755430609306512,31
extra_trees,first_move_thr10,0.005704624278411691,32
extra_trees,top_brightness_std,0.005551765553035649,33
extra_trees,top_support_width_frac,0.005391000983456743,34
extra_trees,abs_delta_fft_high_freq_ratio,0.005361492424271413,35
extra_trees,abs_delta_mean_b,0.005258664549756385,36
extra_trees,front_centroid_dx,0.005169164542747189,37
extra_trees,delta_hue_entropy,0.00512824931601743,38
extra_trees,front_structure_bbox_w,0.00504636053259202,39
extra_trees,abs_delta_structure_center_y,0.005030107829185418,40
extra_trees,delta_fft_high_freq_ratio,0.005008094134837033,41
extra_trees,top_structure_area_ratio,0.004871782401234755,42
extra_trees,abs_delta_mean_g,0.004727732064675083,43
extra_trees,delta_brightness_mean,0.00460020398841903,44
extra_trees,top_edge_density,0.004545115272314727,45
extra_trees,abs_delta_brightness_mean,0.004389321953180572,46
extra_trees,delta_mean_b,0.004347732307105046,47
extra_trees,delta_std_r,0.004173656180673501,48
extra_trees,mean_fft_high_freq_ratio,0.0041310066981713085,49
extra_trees,delta_mean_r,0.004107877232004013,50
